TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20131115,BUY,100,AIG,,,,50,-5000,0,-5000,STK,O,1,A;
20130523,SELL,-100,FAZ,,,,33.26,3326,-1,3325,STK,O,1,
20130719,BUY,100,FAZ,,,,33,-3300,0,-3300,STK,C,1,A;
20130920,BUY,100,INTC,,,,24,-2400,0,-2400,STK,O,1,A;
20130719,BUY,100,ORCL,,,,33,-3300,0,-3300,STK,O,1,A;
20130920,SELL,-100,ORCL,,,,34,3400,-0.07106,3399.92894,STK,C,1,A;
20130114,BUY,1,AAPL  140118C00490000,18/01/2014,490,C,71.31,-7131,-0.6977,-7131.6977,OPT,O,100,
20130114,SELL,-1,AAPL  140118C00500000,18/01/2014,500,C,66.36,6636,-0.846346,6635.153654,OPT,O,100,
20130603,SELL,-1,AAPL7 130921P00420000,21/09/2013,420,P,17,170,-1.070658,168.929342,OPT,O,10,
20130920,BUY,1,AAPL7 130921P00420000,21/09/2013,420,P,0,0,0,0,OPT,C,10,Ep;
20130220,SELL,-1,AIG   130316P00038000,16/03/2013,38,P,0.85,85,-1.069604,83.930396,OPT,O,100,
20130315,BUY,1,AIG   130316P00038000,16/03/2013,38,P,0,0,0,0,OPT,C,100,Ep;
20130318,SELL,-1,AIG   130420P00038000,20/04/2013,38,P,0.72,72,-1.069313,70.930687,OPT,O,100,
20130419,BUY,1,AIG   130420P00038000,20/04/2013,38,P,0,0,0,0,OPT,C,100,Ep;
20130422,SELL,-1,AIG   130622P00037000,22/06/2013,37,P,1.2,120,-1.070388,118.929612,OPT,O,100,
20130621,BUY,1,AIG   130622P00037000,22/06/2013,37,P,0,0,0,0,OPT,C,100,Ep;
20130724,SELL,-1,AIG   131019P00043000,19/10/2013,43,P,1,100,-1.06944,98.93056,OPT,O,100,
20131018,BUY,1,AIG   131019P00043000,19/10/2013,43,P,0,0,0,0,OPT,C,100,Ep;
20131028,SELL,-1,AIG   131116P00050000,16/11/2013,50,P,0.65,65,-1.068731,63.931269,OPT,O,100,
20131115,BUY,1,AIG   131116P00050000,16/11/2013,50,P,0,0,0,0,OPT,C,100,A;
20131118,SELL,-1,AIG   131213C00051000,13/12/2013,51,C,0.35,35,-1.067909,33.932091,OPT,O,100,
20131213,BUY,1,AIG   131213C00051000,13/12/2013,51,C,0,0,0,0,OPT,C,100,Ep;
20131216,SELL,-1,AIG   140110C00051000,10/01/2014,51,C,0.9,90,-1.068866,88.931134,OPT,O,100,
20130805,SELL,-1,AIRM  130921P00030000,21/09/2013,30,P,0.85,85,-1.072179,83.927821,OPT,O,100,
20130920,BUY,1,AIRM  130921P00030000,21/09/2013,30,P,0,0,0,0,OPT,C,100,Ep;
20130814,SELL,-1,AMT   130921P00067500,21/09/2013,67.5,P,1.4,140,-0.263136,139.736864,OPT,O,100,
20130920,BUY,1,AMT   130921P00067500,21/09/2013,67.5,P,0,0,0,0,OPT,C,100,Ep;
20130930,SELL,-1,AMT   131116P00072500,16/11/2013,72.5,P,1.55,155,-0.270297,154.729703,OPT,O,100,
20131115,BUY,1,AMT   131116P00072500,16/11/2013,72.5,P,0,0,0,0,OPT,C,100,Ep;
20130118,SELL,-1,AXP   130420P00057500,20/04/2013,57.5,P,1.5,150,-0.69106,149.30894,OPT,O,100,
20130419,BUY,1,AXP   130420P00057500,20/04/2013,57.5,P,0,0,0,0,OPT,C,100,Ep;
20130823,SELL,-1,AXP   131019P00070000,19/10/2013,70,P,1.25,125,-1.072875,123.927125,OPT,O,100,
20131018,BUY,1,AXP   131019P00070000,19/10/2013,70,P,0,0,0,0,OPT,C,100,Ep;
20130221,SELL,-1,BMC   130420P00040000,20/04/2013,40,P,1.2,120,-0.270388,119.729612,OPT,O,100,
20130419,BUY,1,BMC   130420P00040000,20/04/2013,40,P,0,0,0,0,OPT,C,100,Ep;
20130114,SELL,-1,BRKB  130622C00097500,22/06/2013,97.5,C,1.99,199,-0.702158,198.297842,OPT,O,100,
20130610,BUY,1,BRKB  130622C00097500,22/06/2013,97.5,C,18.27,-1827,-1.0677,-1828.0677,OPT,C,100,
