"TradeDate","Buy/Sell","Quantity","Symbol","Expiry","Strike","Put/Call","TradePrice","Proceeds","IBCommission","NetCash","AssetClass","Open/CloseIndicator","Multiplier","Notes/Codes"
"20150318","SELL","-1","AXP   150417P00082500","20150417","82.5","P","3.59","359","-1.098606","357.901394","OPT","O","100",""
"20150417","BUY","1","AXP   150417P00082500","20150417","82.5","P","5.28","-528","-1.09","-529.09","OPT","C","100",""
"20150331","SELL","-1","AXP   150501P00077500","20150501","77.5","P","1.6","160","-0.794944","159.205056","OPT","O","100",""
"20150501","BUY","1","AXP   150501P00077500","20150501","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150504","SELL","-1","AXP   150605P00077500","20150605","77.5","P","1.1","110","-0.794024","109.205976","OPT","O","100",""
"20150605","BUY","1","AXP   150605P00077500","20150605","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150609","SELL","-1","AXP   150717P00077500","20150717","77.5","P","1.25","125","-0.7943","124.2057","OPT","O","100",""
"20150717","BUY","1","AXP   150717P00077500","20150717","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150417","SELL","-1","AXP   150717P00080000","20150717","80","P","4.58","458","-1.100427","456.899573","OPT","O","100",""
"20150717","BUY","1","AXP   150717P00080000","20150717","80","P","0","-0","0","0","OPT","C","100","A"
"20150722","SELL","-1","AXP   150918C00080000","20150918","80","C","1.76","176","-1.0952384","174.9047616","OPT","O","100",""
"20150916","BUY","1","AXP   150918C00080000","20150918","80","C","0.05","-5","-1.0917","-6.0917","OPT","C","100",""
"20150722","SELL","-1","AXP   150918P00080000","20150918","80","P","2.74","274","-1.0970416","272.9029584","OPT","O","100",""
"20150916","BUY","1","AXP   150918P00080000","20150918","80","P","2.99","-299","-1.0917","-300.0917","OPT","C","100",""
"20150916","SELL","-1","AXP   151016C00080000","20151016","80","C","0.97","97","-1.0954848","95.9045152","OPT","O","100",""
"20151016","BUY","1","AXP   151016C00080000","20151016","80","C","0","-0","0","0","OPT","C","100","Ep"
"20150916","SELL","-1","AXP   151016P00080000","20151016","80","P","3.57","357","-1.1002688","355.8997312","OPT","O","100",""
"20151015","BUY","1","AXP   151016P00080000","20151016","80","P","3.38","-338","-1.0917","-339.0917","OPT","C","100",""
"20151015","SELL","-1","AXP   151120C00080000","20151120","80","C","0.63","63","-1.0948592","61.9051408","OPT","O","100",""
"20151120","BUY","1","AXP   151120C00080000","20151120","80","C","0","-0","0","0","OPT","C","100","Ep"
"20151015","SELL","-1","AXP   151120P00080000","20151120","80","P","3.91","391","-1.1008944","389.8991056","OPT","O","100",""
"20151110","BUY","1","AXP   151120P00080000","20151120","80","P","0","-0","0","0","OPT","C","100","A"
"20151119","SELL","-1","AXP   151218C00075000","20151218","75","C","0.58","58","-0.7947672","57.2052328","OPT","O","100","P"
"20151119","SELL","-1","AXP   151218C00075000","20151218","75","C","0.58","58","-0.1947672","57.8052328","OPT","O","100","P"
"20151218","BUY","2","AXP   151218C00075000","20151218","75","C","0","-0","0","0","OPT","C","100","Ep"
"20150424","SELL","-2","BKS   150717P00022000","20150717","22","P","0.95","190","-0.087496","189.912504","OPT","O","100",""
"20150717","BUY","2","BKS   150717P00022000","20150717","22","P","0","-0","0","0","OPT","C","100","Ep"
"20150724","SELL","-1","BKS   151016P00026000","20151016","26","P","1.15","115","-1.094116","113.905884","OPT","O","100",""
"20151022","SELL","-1","BKS   160115C00014000","20160115","14","C","0.7","70","-1.094988","68.905012","OPT","O","100",""
"20151016","BUY","1","BKS1  151016P00026000","20151016","26","P","0","-0","0","0","OPT","C","100","A"
"20150326","SELL","-1","BOFI  150515P00085000","20150515","85","P","1.3","130","-0.344392","129.655608","OPT","O","100",""
"20150515","BUY","1","BOFI  150515P00085000","20150515","85","P","0","-0","0","0","OPT","C","100","Ep"
"20150526","SELL","-1","BOFI  150619P00090000","20150619","90","P","1.2","120","-1.094208","118.905792","OPT","O","100",""
"20150619","BUY","1","BOFI  150619P00090000","20150619","90","P","0","-0","0","0","OPT","C","100","Ep"
"20150320","BUY","1","BRKB  150320C00145000","20150320","145","C","0.75","-75","-1.09","-76.09","OPT","C","100",""
"20150320","SELL","-1","BRKB  150619C00150000","20150619","150","C","2.25","225","-1.09614","223.90386","OPT","O","100",""
"20150619","BUY","1","BRKB  150619C00150000","20150619","150","C","0","-0","0","0","OPT","C","100","Ep"
"20150622","SELL","-1","BRKB  150918C00145000","20150918","145","C","2.3","230","-1.096232","228.903768","OPT","O","100",""
"20150918","BUY","1","BRKB  150918C00145000","20150918","145","C","0","-0","0","0","OPT","C","100","Ep"
"20150928","SELL","-1","BRKB  151218C00135000","20151218","135","C","2.1","210","-0.997564","209.002436","OPT","O","100",""
"20151217","BUY","1","BRKB  151218C00135000","20151218","135","C","2.17","-217","-1.0917","-218.0917","OPT","C","100",""
"20150622","SELL","-1","BRKB  160115C00115000","20160115","115","C","27.94","2794","-1.1434096","2792.8565904","OPT","C","100",""
"20151217","SELL","-1","BRKB  160318C00140000","20160318","140","C","3.92","392","-1.1009128","390.8990872","OPT","O","100",""
"20150622","BUY","1","BRKB  170120C00140000","20170120","140","C","15.16","-1516","-1.09","-1517.09","OPT","O","100",""
"20150622","SELL","-1","BRKB  170120P00140000","20170120","140","P","10.38","1038","-1.1110992","1036.8889008","OPT","O","100",""
"20150205","BUY","1","COST  150417C00120000","20150417","120","C","30.55","-3055","-1.09","-3056.09","OPT","C","100",""
