TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20140414,SELL,-1,BRKB  150117C00087500,17/01/2015,87.5,C,35.42,3542,-0.870378,3541.129622,OPT,C,100,
20140414,BUY,1,BRKB  150117P00087500,17/01/2015,87.5,P,0.51,-51,-0.7901,-51.7901,OPT,C,100,
20141219,SELL,-1,BRKB  150320C00145000,20/03/2015,145,C,9.68,968,-0.811593,967.188407,OPT,O,100,
20140414,BUY,1,BRKB  160115C00115000,15/01/2016,115,C,16.22,-1622,-0.7901,-1622.7901,OPT,O,100,
20140414,SELL,-1,BRKB  160115P00115000,15/01/2016,115,P,7.15,715,-0.807902,714.192098,OPT,O,100,
20140110,SELL,-1,COST  140419C00120000,19/04/2014,120,C,2.97,297,-1.076268,295.923732,OPT,O,100,
20140409,BUY,1,COST  140419C00120000,19/04/2014,120,C,0.03,-3,-1.0901,-4.0901,OPT,C,100,
20140409,SELL,-1,COST  140517C00115000,17/05/2014,115,C,1.08,108,-1.094487,106.905513,OPT,O,100,
20140512,BUY,1,COST  140517C00115000,17/05/2014,115,C,1.73,-173,-0.7901,-173.7901,OPT,C,100,
20140512,SELL,-1,COST  141018C00120000,18/10/2014,120,C,2.83,283,-0.798354,282.201646,OPT,O,100,
20141008,BUY,1,COST  141018C00120000,18/10/2014,120,C,7.88,-788,-0.7882,-788.7882,OPT,C,100,
20141008,SELL,-1,COST  150417C00125000,17/04/2015,125,C,6.68,668,-0.804963,667.195037,OPT,O,100,
20140110,BUY,1,COST  160115C00100000,15/01/2016,100,C,23.9,-2390,-1.0691,-2391.0691,OPT,O,100,
20140110,SELL,-1,COST  160115P00100000,15/01/2016,100,P,6.93,693,-1.083158,691.916842,OPT,O,100,
20140124,SELL,-1,CSTE  140419P00040000,19/04/2014,40,P,2.25,225,-0.325015,224.674985,OPT,O,100,
20140324,BUY,1,CSTE  140419P00040000,19/04/2014,40,P,0.1,-10,-1.0696,-11.0696,OPT,C,100,
20140520,SELL,-1,CSTE  141018P00045000,18/10/2014,45,P,2.7,270,-0.258067,269.741933,OPT,O,100,
20141017,BUY,1,CSTE  141018P00045000,18/10/2014,45,P,0,0,0,0,OPT,C,100,Ep;
20140115,BUY,1,DIS   140118C00072500,18/01/2014,72.5,C,2.31,-231,-1.0691,-232.0691,OPT,C,100,
20140115,SELL,-1,DIS   140222C00077500,22/02/2014,77.5,C,0.91,91,-1.072683,89.927317,OPT,O,100,
20140221,BUY,1,DIS   140222C00077500,22/02/2014,77.5,C,2.7,-270,-0.7696,-270.7696,OPT,C,100,
20140221,SELL,-1,DIS   140419C00082500,19/04/2014,82.5,C,1.45,145,-0.774123,144.225877,OPT,O,100,
20140417,BUY,1,DIS   140419C00082500,19/04/2014,82.5,C,0,0,0,0,OPT,C,100,Ep;
20140422,SELL,-1,DIS   140517C00082500,17/05/2014,82.5,C,0.76,76,-0.79378,75.20622,OPT,O,100,
20140516,BUY,1,DIS   140517C00082500,17/05/2014,82.5,C,0,0,0,0,OPT,C,100,Ep;
20140519,SELL,-1,DIS   140627C00083000,27/06/2014,83,C,1,100,-1.09431,98.90569,OPT,O,100,
20140626,BUY,1,DIS   140627C00083000,27/06/2014,83,C,0.96,-96,-0.7901,-96.7901,OPT,C,100,
20140626,SELL,-1,DIS   140808C00086000,08/08/2014,86,C,1.3,130,-0.794973,129.205027,OPT,O,100,
20140807,BUY,1,DIS   140808C00086000,08/08/2014,86,C,0.28,-28,-0.7882,-28.7882,OPT,C,100,
20140807,SELL,-1,DIS   140926C00088000,26/09/2014,88,C,1.28,128,-0.793029,127.206971,OPT,O,100,
20140926,BUY,1,DIS   140926C00088000,26/09/2014,88,C,0.38,-38,-0.7882,-38.7882,OPT,C,100,
20140926,SELL,-1,DIS   141024C00091000,24/10/2014,91,C,0.53,53,-0.791371,52.208629,OPT,O,100,
20141024,BUY,1,DIS   141024C00091000,24/10/2014,91,C,0,0,0,0,OPT,C,100,Ep;
20141031,SELL,-1,DIS   141212C00094000,12/12/2014,94,C,1,100,-0.79241,99.20759,OPT,O,100,
20141212,BUY,1,DIS   141212C00094000,12/12/2014,94,C,0,0,0,0,OPT,C,100,Ep;
20141217,SELL,-1,DIS   150117C00095000,17/01/2015,95,C,0.75,75,-1.091858,73.908142,OPT,O,100,
20141118,SELL,-1,EXPD  150220C00045000,20/02/2015,45,C,1.1,110,-0.342631,109.657369,OPT,O,100,
20141118,SELL,-1,EXPD  150220P00043000,20/02/2015,43,P,1.3,130,-0.343073,129.656927,OPT,O,100,
20141002,BUY,1,EXPD  160115C00040000,15/01/2016,40,C,3.94,-394,-0.3382,-394.3382,OPT,O,100,
20141002,SELL,-1,EXPD  160115P00040000,15/01/2016,40,P,4.44,444,-0.350012,443.649988,OPT,O,100,
20141015,SELL,-1,GME   150117P00036000,17/01/2015,36,P,3,300,-1.09683,298.90317,OPT,O,100,
20140117,BUY,1,INTC  140118C00025000,18/01/2014,25,C,0,0,0,0,OPT,C,100,A;
20140117,BUY,1,INTC  140118P00022000,18/01/2014,22,P,0,0,0,0,OPT,C,100,Ep;
20140909,SELL,-1,INVN  141018P00022000,18/10/2014,22,P,0.6,60,-0.241526,59.758474,OPT,O,100,
20141015,BUY,1,INVN  141018P00022000,18/10/2014,22,P,2.22,-222,-0.3382,-222.3382,OPT,C,100,
20140922,SELL,-1,INVN  141031P00020000,31/10/2014,20,P,1,100,-1.09241,98.90759,OPT,O,100,
20141031,BUY,1,INVN  141031P00020000,31/10/2014,20,P,3.78,-378,-0.3382,-378.3382,OPT,C,100,
20141120,BUY,1,INVN  141122P00019500,22/11/2014,19.5,P,4.39,-439,-0.3382,-439.3382,OPT,O,100,
20141120,SELL,-1,INVN  141122P00019500,22/11/2014,19.5,P,4.16,416,-0.349394,415.650606,OPT,C,100,
20141015,SELL,-1,INVN  141122P00021000,22/11/2014,21,P,2.72,272,-0.346211,271.653789,OPT,O,100,
20141120,BUY,1,INVN  141122P00021000,22/11/2014,21,P,6,-600,-0.3382,-600.3382,OPT,C,100,
20141031,SELL,-1,INVN  141128P00019500,28/11/2014,19.5,P,3.38,338,-0.34767,337.65233,OPT,O,100,
20141120,BUY,1,INVN  141128P00019500,28/11/2014,19.5,P,4.36,-436,-0.3382,-436.3382,OPT,C,100,
20141120,SELL,-1,INVN  150117P00019000,17/01/2015,19,P,4.39,439,-0.349902,438.650098,OPT,O,100,
20141120,SELL,-1,INVN  150320P00020000,20/03/2015,20,P,6,600,-0.35346,599.64654,OPT,O,100,
20141015,SELL,-1,LINE  141122P00020000,22/11/2014,20,P,1.2,120,-0.252852,119.747148,OPT,O,100,
20141121,BUY,1,LINE  141122P00020000,22/11/2014,20,P,0,0,0,0,OPT,C,100,Ep;
20141124,SELL,-1,LINE  150417P00020000,17/04/2015,20,P,1.6,160,-1.093736,158.906264,OPT,O,100,
20140530,SELL,-1,LNKD  140621C00175000,21/06/2014,175,C,1.14,114,-0.794619,113.205381,OPT,O,100,
20140620,BUY,1,LNKD  140621C00175000,21/06/2014,175,C,0,0,0,0,OPT,C,100,Ep;
20140623,SELL,-1,LNKD  140719C00180000,19/07/2014,180,C,1.9,190,-0.796299,189.203701,OPT,O,100,
20140718,BUY,1,LNKD  140719C00180000,19/07/2014,180,C,0,0,0,0,OPT,C,100,Ep;
20140721,SELL,-1,LNKD  140816C00177500,16/08/2014,177.5,C,2.7,270,-1.098067,268.901933,OPT,O,100,
20140811,BUY,1,LNKD  140816C00177500,16/08/2014,177.5,C,35.88,-3588,-0.7882,-3588.7882,OPT,C,100,
20140811,SELL,-1,LNKD  140926C00215000,26/09/2014,215,C,9.88,988,-0.812035,987.187965,OPT,O,100,
20140926,BUY,1,LNKD  140926C00215000,26/09/2014,215,C,0,0,0,0,OPT,C,100,Ep;
20140929,SELL,-1,LNKD  141031C00230000,31/10/2014,230,C,5.15,515,-1.101582,513.898418,OPT,O,100,
20141031,BUY,1,LNKD  141031C00230000,31/10/2014,230,C,0,0,0,0,OPT,C,100,Ep;
20141110,SELL,-1,LNKD  141220C00260000,20/12/2014,260,C,1.6,160,-0.793736,159.206264,OPT,O,100,
20141219,BUY,1,LNKD  141220C00260000,20/12/2014,260,C,0,0,0,0,OPT,C,100,Ep;
20141222,SELL,-1,LNKD  150117C00255000,17/01/2015,255,C,1.6,160,-1.093736,158.906264,OPT,O,100,
20140530,BUY,1,LNKD  160115C00135000,15/01/2016,135,C,46.14,-4614,-0.7901,-4614.7901,OPT,O,100,
20140121,SELL,-1,LOW   140222P00046000,22/02/2014,46,P,0.5,50,-1.07197,48.92803,OPT,O,100,
20140221,BUY,1,LOW   140222P00046000,22/02/2014,46,P,0,0,0,0,OPT,C,100,Ep;
20140520,SELL,-1,LUK   140920P00025000,20/09/2014,25,P,1.3,130,-1.094973,128.905027,OPT,O,100,
