TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20180409,BUY,12,ADBE,,,,223,-2676,-1,-2677,STK,O,1,
20180605,BUY,5,ADBE,,,,252.25,-1261.25,-1,-1262.25,STK,O,1,
20180420,SELL,-200,ATVI,,,,67,13400,-0.33334,13399.66666,STK,O,1,Ex
20180423,BUY,100,ATVI,,,,67,-6700,-1,-6701,STK,C,1,
20180423,BUY,10,ATVI,,,,67,-670,-1,-671,STK,C,1,P
20180423,BUY,90,ATVI,,,,67,-6030,0,-6030,STK,C,1,P
20180914,BUY,5,BR,,,,137.2,-686,-1,-687,STK,O,1,P
20180914,BUY,15,BR,,,,137.2,-2058,0,-2058,STK,O,1,P
20181012,BUY,40,BR,,,,118,-4720,-1,-4721,STK,O,1,
20180222,BUY,15,CME,,,,161.5,-2422.5,-1,-2423.5,STK,O,1,
20181002,BUY,7,CME,,,,173.75,-1216.25,-1,-1217.25,STK,O,1,
20181210,SELL,-14,COHR,,,,117,1638,-1.02296,1636.97704,STK,C,1,
20180703,SELL,-54,DGS,,,,47.35,2556.9,-1.0396657,2555.860334,STK,C,1,
20180823,SELL,-100,DNKN,,,,62.5,6250,-0.09315,6249.90685,STK,C,1,A
20181009,BUY,5,DPZ,,,,285.37,-1426.85,-1,-1427.85,STK,O,1,
20181009,SELL,-5,DPZ,,,,285,1425,-1.01912,1423.98088,STK,C,1,P
20181009,SELL,-5,DPZ,,,,285,1425,-0.01912,1424.98088,STK,O,1,P
20180914,SELL,-15,FB,,,,162.5,2437.5,-1.0334725,2436.466528,STK,C,1,
20181016,SELL,-80,FLXN,,,,19.25,1540,-1.02954,1538.97046,STK,O,1,
20181102,BUY,80,FLXN,,,,15,-1200,-1,-1201,STK,C,1,
20180703,SELL,-37,GILD,,,,71.51,2645.87,-1.03879931,2644.831201,STK,C,1,
20180123,BUY,100,INTC,,,,45.75,-4575,-1,-4576,STK,O,1,
20181108,BUY,100,IQ,,,,30,-3000,0,-3000,STK,O,1,A
20180925,SELL,-35,ISCA,,,,44.35,1552.25,-1.02434425,1551.225656,STK,O,1,
20181004,BUY,35,ISCA,,,,36.5,-1277.5,-1,-1278.5,STK,C,1,
20180523,BUY,100,JD,,,,36.5,-3650,-1,-3651,STK,O,1,
20180820,BUY,100,JD,,,,43,-4300,0,-4300,STK,O,1,A
20180420,SELL,-100,MOMO,,,,35,3500,-0.09275,3499.90725,STK,C,1,A
20181012,SELL,-20,MUSA,,,,79.5,1590,-1.02305,1588.97695,STK,O,1,
20181121,BUY,20,MUSA,,,,79,-1580,-1,-1581,STK,C,1,
20181212,SELL,-10,OTEX,,,,33.9527,339.527,-1.005603851,338.5213961,STK,C,1,
20181029,BUY,10,PAYC,,,,125,-1250,-1,-1251,STK,O,1,
20181112,SELL,-2,SEAS,,,,24,48,-1.000862,46.999138,STK,O,1,P
20181112,SELL,-58,SEAS,,,,24,1392,-0.024998,1391.975002,STK,O,1,P
20181121,BUY,60,SEAS,,,,26.53,-1591.8,-1,-1592.8,STK,C,1,
20180409,BUY,10,SQ,,,,46.7,-467,-1,-468,STK,O,1,
20181116,SELL,-100,SSTK,,,,37,3700,-0.06,3699.94,STK,C,1,A
20180206,BUY,100,SVXY,,,,65,-6500,0,-6500,STK,O,1,A
20180817,SELL,-100,SVXY,,,,14,1400,-0.0301,1399.9699,STK,C,1,A
20180202,BUY,19,TCEHY,,,,57,-1083,-1,-1084,STK,O,1,
20180213,BUY,5,TCEHY,,,,54.58,-272.9,-1,-273.9,STK,O,1,
20180628,BUY,5,TCEHY,,,,48.28,-241.4,-1,-242.4,STK,O,1,
20181214,BUY,100,THO,,,,80,-8000,0,-8000,STK,O,1,A
20180614,SELL,-37,VRSN,,,,140.6,5202.2,-1.0720316,5201.127968,STK,C,1,P
20180614,SELL,-2,VRSN,,,,140.6,281.2,-0.0038936,281.1961064,STK,C,1,P
20180614,SELL,-61,VRSN,,,,140.6,8576.6,-0.1187548,8576.481245,STK,C,1,P
