TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20170103,SELL,-200,AXP,,,,65,13000,-0.3072,12999.6928,STK,C,1,A
20170103,BUY,2,AXP   170120C00065000,20170120,65,C,0,0,0,0,OPT,C,100,A
20170106,SELL,-1,BR    170217P00065000,20170217,65,P,1.4,140,-1.095752,138.904248,OPT,O,100,
20170110,SELL,-1,BRKB  170120C00140000,20170120,140,C,22.25,2225,-1.141205,2223.858795,OPT,C,100,
20170110,SELL,-1,BRKB  170317C00165000,20170317,165,C,2.84,284,-1.0988912,282.9011088,OPT,O,100,
20170110,BUY,1,BRKB  170616C00155000,20170616,155,C,11.8,-1180,-1.0907,-1181.0907,OPT,C,100,
20170110,BUY,1,BRKB  190118C00160000,20190118,160,C,21.29,-2129,-1.0907,-2130.0907,OPT,O,100,
20170110,SELL,-1,BRKB  190118P00160000,20190118,160,P,12.87,1287,-1.1207566,1285.879243,OPT,O,100,
20170113,BUY,1,GME   170113C00027500,20170113,27.5,C,0,0,0,0,OPT,C,100,Ep
20170119,SELL,-1,EXPD  170120C00042000,20170120,42,C,11.95,1195,-0.318751,1194.681249,OPT,C,100,
20170119,BUY,1,EXPD  170120C00050000,20170120,50,C,3.55,-355,-0.2907,-355.2907,OPT,C,100,
20170119,BUY,1,EXPD  170120P00042000,20170120,42,P,0.79,-79,-0.2907,-79.2907,OPT,C,100,
20170120,SELL,-25,FB,,,,128.1514,3203.785,-1.072817513,3202.712182,STK,O,1,
20170120,BUY,100,FB,,,,50,-5000,0,-5000,STK,C;O,1,Ex
20170120,BUY,1,BRKB  170120P00140000,20170120,140,P,0,0,0,0,OPT,C,100,Ep
20170120,SELL,-1,FB    170120C00050000,20170120,50,C,0,0,0,0,OPT,C,100,Ex
20170120,SELL,-1,GME   170224C00025000,20170224,25,C,0.4,40,-0.793572,39.206428,OPT,O,100,
20170120,BUY,1,NOV   170120C00040000,20170120,40,C,0,0,0,0,OPT,C,100,Ep
20170120,BUY,1,SHAK  170120C00035000,20170120,35,C,0,0,0,0,OPT,C,100,Ep
20170124,BUY,1,FEYE  170915C00013000,20170915,13,C,2.13,-213,-1.0907,-214.0907,OPT,O,100,
20170124,SELL,-2,FEYE  170915C00016000,20170915,16,C,1.09,218,-1.5901524,216.4098476,OPT,O,100,
20170124,SELL,-1,NOV   170317C00042000,20170317,42,C,0.83,83,-1.0945094,81.9054906,OPT,O,100,
20170208,SELL,-55,PRXL,,,,62.89,3458.95,-1.08195011,3457.86805,STK,C,1,
20170217,SELL,-100,PRLB,,,,55,5500,-0.1318,5499.8682,STK,C,1,A
20170217,BUY,1,ATVI  170217P00035000,20170217,35,P,0,0,0,0,OPT,C,100,Ep
20170217,BUY,1,BR    170217P00065000,20170217,65,P,0,0,0,0,OPT,C,100,Ep
20170217,BUY,1,MTH   170217C00040000,20170217,40,C,0,0,0,0,OPT,C,100,Ep
20170217,BUY,1,PRLB  170217C00055000,20170217,55,C,0,0,0,0,OPT,C,100,A
20170217,BUY,1,PRLB  170217C00060000,20170217,60,C,0,0,0,0,OPT,C,100,Ep
20170217,BUY,1,SSTK  170217C00052500,20170217,52.5,C,2.26,-226,-0.3431,-226.3431,OPT,C,100,
20170217,SELL,-1,SSTK  170519C00055000,20170519,55,C,3.86,386,-0.3535148,385.6464852,OPT,O,100,
20170221,SELL,-1,PRLB  170317C00060000,20170317,60,C,0.6,60,-1.096408,58.903592,OPT,O,100,
20170224,SELL,-100,GME,,,,25,2500,-0.0664,2499.9336,STK,C,1,A
20170224,BUY,25,JNJ,,,,122,-3050,-1,-3051,STK,O,1,
20170224,BUY,1,GME   170224C00025000,20170224,25,C,0,0,0,0,OPT,C,100,A
20170227,SELL,-1,MTH   170616C00037500,20170616,37.5,C,1.4,140,-0.348152,139.651848,OPT,O,100,
20170310,BUY,1,BRKB  170310C00165000,20170310,165,C,11.26,-1126,-1.0931,-1127.0931,OPT,O,100,
20170310,SELL,-1,BRKB  170310C00165000,20170310,165,C,10.54,1054,-1.1180772,1052.881923,OPT,C,100,
20170310,BUY,1,BRKB  170317C00165000,20170317,165,C,10.76,-1076,-1.0931,-1077.0931,OPT,C,100,
20170310,SELL,-1,BRKB  170915C00175000,20170915,175,C,9.53,953,-1.1158754,951.8841246,OPT,O,100,
20170313,SELL,-1,AMTD  170421C00040000,20170421,40,C,1.2,120,-1.097716,118.902284,OPT,O,100,
20170317,BUY,1,IBKR  170317C00040000,20170317,40,C,0,0,0,0,OPT,C,100,Ep
20170317,BUY,1,IBKR  170317P00036000,20170317,36,P,0,0,0,0,OPT,C,100,Ep
20170317,BUY,1,NOV   170317C00042000,20170317,42,C,0,0,0,0,OPT,C,100,Ep
20170317,BUY,2,PRAA  170317C00035000,20170317,35,C,0,0,0,0,OPT,C,100,Ep
20170317,BUY,1,PRLB  170317C00060000,20170317,60,C,0,0,0,0,OPT,C,100,Ep
20170317,BUY,1,VRSN  170317C00085000,20170317,85,C,2.17,-217,-1.0931,-218.0931,OPT,C,100,
20170317,BUY,1,VRSN  170317P00080000,20170317,80,P,0,0,0,0,OPT,C,100,Ep
20170317,SELL,-1,VRSN  170616C00090000,20170616,90,C,2.09,209,-1.0996562,207.9003438,OPT,O,100,
20170317,SELL,-1,VRSN  170616P00085000,20170616,85,P,2.33,233,-1.1001794,231.8998206,OPT,O,100,
20170320,SELL,-1,NOV   170421C00040000,20170421,40,C,0.92,92,-0.7971056,91.2028944,OPT,O,100,
20170321,SELL,-2,PRAA  170519C00035000,20170519,35,C,1.65,330,-0.097394,329.902606,OPT,O,100,
20170322,SELL,-85,FAZ,,,,20.15,1712.75,-1.04745295,1711.702547,STK,O,1,
20170322,SELL,-1,FAZ   170421C00021500,20170421,21.5,C,0.5,50,-1.09619,48.90381,OPT,O,100,
20170324,SELL,-1,IBKR  170421C00037000,20170421,37,C,0.2,20,-0.345536,19.654464,OPT,O,100,
20170324,SELL,-1,IBKR  170421P00034000,20170421,34,P,0.6,60,-0.346408,59.653592,OPT,O,100,
20170324,SELL,-1,MTCH  170519P00015000,20170519,15,P,0.5,50,-0.34619,49.65381,OPT,O,100,
20170331,BUY,6,V,,,,89.2,-535.2,-1,-536.2,STK,O,1,
20170331,BUY,2,V,,,,89,-178,-1,-179,STK,O,1,
