TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20160412,SELL,-100,ACN,,,,105,10500,-0.2408,10499.7592,STK,O,1,A
20160413,BUY,100,ACN,,,,75,-7500,0,-7500,STK,C,1,Ex
20160318,BUY,200,AFSI,,,,26.25,-5250,0,-5250,STK,O,1,A
20160715,BUY,100,AMTD,,,,30,-3000,0,-3000,STK,O,1,A
20161216,SELL,-100,BKS,,,,10,1000,-0.0337,999.9663,STK,C,1,A
20161031,SELL,-63,BNED,,,,9.25,582.75,-1.02020095,581.7297991,STK,C,1,
20160518,BUY,66,FDS,,,,151.5,-9999,-1,-10000,STK,O,1,
20160524,SELL,-33,FDS,,,,157,5181,-1.1129458,5179.887054,STK,C,1,P
20160524,SELL,-20,FDS,,,,157,3140,-0.068452,3139.931548,STK,C,1,P
20160715,BUY,100,GME,,,,39,-3900,0,-3900,STK,O,1,A
20160111,BUY,100,GNTX,,,,14,-1400,-1,-1401,STK,O,1,
20160115,BUY,200,GNTX,,,,15,-3000,0,-3000,STK,O,1,A
20160318,SELL,-100,GNTX,,,,15,1500,-0.0446,1499.9554,STK,C,1,A
20161202,SELL,-200,HAL,,,,40,8000,-0.1982,7999.8018,STK,C,1,A
20160318,BUY,100,IBKR,,,,40,-4000,0,-4000,STK,O,1,A
20160819,SELL,-100,LUK,,,,18,1800,-0.05114,1799.94886,STK,C,1,A
20160908,SELL,-50,MA,,,,100,5000,-1.11495,4998.88505,STK,C,1,
20161216,BUY,100,MTH,,,,42.5,-4250,0,-4250,STK,O,1,A
20160816,BUY,100,NOV,,,,42.5,-4250,0,-4250,STK,O,1,A
20161031,BUY,19,ORLY,,,,262,-4978,-1,-4979,STK,O,1,
20160415,SELL,-100,OTEX,,,,50,5000,-0.1209,4999.8791,STK,C,1,A
20161130,BUY,45,PAYC,,,,44.75,-2013.75,-1,-2014.75,STK,O,1,
